County,Office,Candidate,Party,County Total,State Total
Tippah,United States-Senate ,Mike Espy,Democrat,2432,578691
Tishomingo,United States-Senate ,Mike Espy,Democrat,1594,578691
Tunica,United States-Senate ,Mike Espy,Democrat,2717,578691
Union,United States-Senate ,Mike Espy,Democrat,2660,578691
Walthall,United States-Senate ,Mike Espy,Democrat,2993,578691
Warren,United States-Senate ,Mike Espy,Democrat,10853,578691
Washington,United States-Senate ,Mike Espy,Democrat,13155,578691
Wayne,United States-Senate ,Mike Espy,Democrat,3954,578691
Webster,United States-Senate ,Mike Espy,Democrat,1198,578691
Wilkinson,United States-Senate ,Mike Espy,Democrat,2702,578691
Winston,United States-Senate ,Mike Espy,Democrat,4303,578691
Yalobusha,United States-Senate ,Mike Espy,Democrat,3005,578691
Yazoo,United States-Senate ,Mike Espy,Democrat,5804,578691
Adams,United States-Senate ,Cindy Hyde-Smith,Republican,5416,709511
Alcorn,United States-Senate ,Cindy Hyde-Smith,Republican,11616,709511
Amite,United States-Senate ,Cindy Hyde-Smith,Republican,4347,709511
Attala,United States-Senate ,Cindy Hyde-Smith,Republican,4888,709511
Benton,United States-Senate ,Cindy Hyde-Smith,Republican,2320,709511
Bolivar,United States-Senate ,Cindy Hyde-Smith,Republican,4317,709511
Calhoun,United States-Senate ,Cindy Hyde-Smith,Republican,4341,709511
Carroll,United States-Senate ,Cindy Hyde-Smith,Republican,3716,709511
Chickasaw,United States-Senate ,Cindy Hyde-Smith,Republican,3913,709511
Choctaw,United States-Senate ,Cindy Hyde-Smith,Republican,2811,709511
Claiborne,United States-Senate ,Cindy Hyde-Smith,Republican,555,709511
Clarke,United States-Senate ,Cindy Hyde-Smith,Republican,5169,709511
Clay,United States-Senate ,Cindy Hyde-Smith,Republican,4006,709511
Coahoma,United States-Senate ,Cindy Hyde-Smith,Republican,2133,709511
Copiah,United States-Senate ,Cindy Hyde-Smith,Republican,6062,709511
Covington,United States-Senate ,Cindy Hyde-Smith,Republican,5604,709511
DeSoto,United States-Senate ,Cindy Hyde-Smith,Republican,43171,709511
Forrest,United States-Senate ,Cindy Hyde-Smith,Republican,16079,709511
Franklin,United States-Senate ,Cindy Hyde-Smith,Republican,2833,709511
George,United States-Senate ,Cindy Hyde-Smith,Republican,8811,709511
Greene,United States-Senate ,Cindy Hyde-Smith,Republican,4395,709511
Grenada,United States-Senate ,Cindy Hyde-Smith,Republican,5654,709511
Hancock,United States-Senate ,Cindy Hyde-Smith,Republican,14537,709511
Harrison,United States-Senate ,Cindy Hyde-Smith,Republican,43180,709511
Hinds,United States-Senate ,Cindy Hyde-Smith,Republican,23661,709511
Holmes,United States-Senate ,Cindy Hyde-Smith,Republican,1230,709511
Humphreys,United States-Senate ,Cindy Hyde-Smith,Republican,1023,709511
Issaquena,United States-Senate ,Cindy Hyde-Smith,Republican,309,709511
Itawamba,United States-Senate ,Cindy Hyde-Smith,Republican,8818,709511
Jackson,United States-Senate ,Cindy Hyde-Smith,Republican,33608,709511
Jasper,United States-Senate ,Cindy Hyde-Smith,Republican,4102,709511
Jeff Davis,United States-Senate ,Cindy Hyde-Smith,Republican,2400,709511
Jefferson,United States-Senate ,Cindy Hyde-Smith,Republican,476,709511
Jones,United States-Senate ,Cindy Hyde-Smith,Republican,19917,709511
Kemper,United States-Senate ,Cindy Hyde-Smith,Republican,1720,709511
Lafayette,United States-Senate ,Cindy Hyde-Smith,Republican,12127,709511
Lamar,United States-Senate ,Cindy Hyde-Smith,Republican,19588,709511
Lauderdale,United States-Senate ,Cindy Hyde-Smith,Republican,17082,709511
Lawrence,United States-Senate ,Cindy Hyde-Smith,Republican,4222,709511
Leake,United States-Senate ,Cindy Hyde-Smith,Republican,4991,709511
Lee,United States-Senate ,Cindy Hyde-Smith,Republican,22739,709511
Leflore,United States-Senate ,Cindy Hyde-Smith,Republican,2914,709511
Lincoln,United States-Senate ,Cindy Hyde-Smith,Republican,11378,709511
Lowndes,United States-Senate ,Cindy Hyde-Smith,Republican,13010,709511
Madison,United States-Senate ,Cindy Hyde-Smith,Republican,30038,709511
Marion,United States-Senate ,Cindy Hyde-Smith,Republican,7821,709511
Marshall,United States-Senate ,Cindy Hyde-Smith,Republican,6904,709511
Monroe,United States-Senate ,Cindy Hyde-Smith,Republican,10516,709511
Montgomery,United States-Senate ,Cindy Hyde-Smith,Republican,2738,709511
Neshoba,United States-Senate ,Cindy Hyde-Smith,Republican,7797,709511
Newton,United States-Senate ,Cindy Hyde-Smith,Republican,6659,709511
Noxubee,United States-Senate ,Cindy Hyde-Smith,Republican,1178,709511
Oktibbeha,United States-Senate ,Cindy Hyde-Smith,Republican,8592,709511
Panola,United States-Senate ,Cindy Hyde-Smith,Republican,7425,709511
Pearl River,United States-Senate ,Cindy Hyde-Smith,Republican,17814,709511
Perry,United States-Senate ,Cindy Hyde-Smith,Republican,4204,709511
Pike,United States-Senate ,Cindy Hyde-Smith,Republican,8044,709511
Pontotoc,United States-Senate ,Cindy Hyde-Smith,Republican,10803,709511
Prentiss,United States-Senate ,Cindy Hyde-Smith,Republican,7651,709511
Quitman,United States-Senate ,Cindy Hyde-Smith,Republican,883,709511
Rankin,United States-Senate ,Cindy Hyde-Smith,Republican,48502,709511
Scott,United States-Senate ,Cindy Hyde-Smith,Republican,5933,709511
Sharkey,United States-Senate ,Cindy Hyde-Smith,Republican,663,709511
Simpson,United States-Senate ,Cindy Hyde-Smith,Republican,7381,709511
Smith,United States-Senate ,Cindy Hyde-Smith,Republican,6202,709511
Stone,United States-Senate ,Cindy Hyde-Smith,Republican,5609,709511
Sunflower,United States-Senate ,Cindy Hyde-Smith,Republican,2623,709511
Tallahatchie,United States-Senate ,Cindy Hyde-Smith,Republican,2309,709511
Tate,United States-Senate ,Cindy Hyde-Smith,Republican,8071,709511
Tippah,United States-Senate ,Cindy Hyde-Smith,Republican,7394,709511
Tishomingo,United States-Senate ,Cindy Hyde-Smith,Republican,7216,709511
Tunica,United States-Senate ,Cindy Hyde-Smith,Republican,814,709511
Union,United States-Senate ,Cindy Hyde-Smith,Republican,9572,709511
Walthall,United States-Senate ,Cindy Hyde-Smith,Republican,4005,709511
Warren,United States-Senate ,Cindy Hyde-Smith,Republican,9912,709511
Washington,United States-Senate ,Cindy Hyde-Smith,Republican,4891,709511
Wayne,United States-Senate ,Cindy Hyde-Smith,Republican,5984,709511
Webster,United States-Senate ,Cindy Hyde-Smith,Republican,4067,709511
Wilkinson,United States-Senate ,Cindy Hyde-Smith,Republican,1295,709511
Winston,United States-Senate ,Cindy Hyde-Smith,Republican,4846,709511
Yalobusha,United States-Senate ,Cindy Hyde-Smith,Republican,3415,709511
Yazoo,United States-Senate ,Cindy Hyde-Smith,Republican,4551,709511
Adams,United States-Senate ,Jimmy L. Edwards,Libertarian,152,23152
Alcorn,United States-Senate ,Jimmy L. Edwards,Libertarian,378,23152
Amite,United States-Senate ,Jimmy L. Edwards,Libertarian,74,23152
Attala,United States-Senate ,Jimmy L. Edwards,Libertarian,108,23152
Benton,United States-Senate ,Jimmy L. Edwards,Libertarian,92,23152
Bolivar,United States-Senate ,Jimmy L. Edwards,Libertarian,102,23152
Calhoun,United States-Senate ,Jimmy L. Edwards,Libertarian,112,23152
Carroll,United States-Senate ,Jimmy L. Edwards,Libertarian,84,23152
Chickasaw,United States-Senate ,Jimmy L. Edwards,Libertarian,112,23152
Choctaw,United States-Senate ,Jimmy L. Edwards,Libertarian,78,23152
Claiborne,United States-Senate ,Jimmy L. Edwards,Libertarian,26,23152
Clarke,United States-Senate ,Jimmy L. Edwards,Libertarian,125,23152
Clay,United States-Senate ,Jimmy L. Edwards,Libertarian,109,23152
Coahoma,United States-Senate ,Jimmy L. Edwards,Libertarian,46,23152
Copiah,United States-Senate ,Jimmy L. Edwards,Libertarian,118,23152
Covington,United States-Senate ,Jimmy L. Edwards,Libertarian,131,23152
DeSoto,United States-Senate ,Jimmy L. Edwards,Libertarian,1768,23152
Forrest,United States-Senate ,Jimmy L. Edwards,Libertarian,695,23152
Franklin,United States-Senate ,Jimmy L. Edwards,Libertarian,54,23152
George,United States-Senate ,Jimmy L. Edwards,Libertarian,260,23152
Greene,United States-Senate ,Jimmy L. Edwards,Libertarian,129,23152
Grenada,United States-Senate ,Jimmy L. Edwards,Libertarian,157,23152
Hancock,United States-Senate ,Jimmy L. Edwards,Libertarian,573,23152
Harrison,United States-Senate ,Jimmy L. Edwards,Libertarian,2152,23152
Hinds,United States-Senate ,Jimmy L. Edwards,Libertarian,910,23152
Holmes,United States-Senate ,Jimmy L. Edwards,Libertarian,36,23152
Humphreys,United States-Senate ,Jimmy L. Edwards,Libertarian,29,23152
Issaquena,United States-Senate ,Jimmy L. Edwards,Libertarian,5,23152
Itawamba,United States-Senate ,Jimmy L. Edwards,Libertarian,251,23152
Jackson,United States-Senate ,Jimmy L. Edwards,Libertarian,1325,23152
Jasper,United States-Senate ,Jimmy L. Edwards,Libertarian,92,23152
Jeff Davis,United States-Senate ,Jimmy L. Edwards,Libertarian,44,23152
Jefferson,United States-Senate ,Jimmy L. Edwards,Libertarian,12,23152
Jones,United States-Senate ,Jimmy L. Edwards,Libertarian,641,23152
Kemper,United States-Senate ,Jimmy L. Edwards,Libertarian,40,23152
Lafayette,United States-Senate ,Jimmy L. Edwards,Libertarian,432,23152
Lamar,United States-Senate ,Jimmy L. Edwards,Libertarian,693,23152
Lauderdale,United States-Senate ,Jimmy L. Edwards,Libertarian,501,23152
Lawrence,United States-Senate ,Jimmy L. Edwards,Libertarian,57,23152
Leake,United States-Senate ,Jimmy L. Edwards,Libertarian,92,23152
Lee,United States-Senate ,Jimmy L. Edwards,Libertarian,745,23152
Leflore,United States-Senate ,Jimmy L. Edwards,Libertarian,57,23152
Lincoln,United States-Senate ,Jimmy L. Edwards,Libertarian,168,23152
Lowndes,United States-Senate ,Jimmy L. Edwards,Libertarian,369,23152
Madison,United States-Senate ,Jimmy L. Edwards,Libertarian,823,23152
Marion,United States-Senate ,Jimmy L. Edwards,Libertarian,187,23152
Marshall,United States-Senate ,Jimmy L. Edwards,Libertarian,212,23152
Monroe,United States-Senate ,Jimmy L. Edwards,Libertarian,314,23152
Montgomery,United States-Senate ,Jimmy L. Edwards,Libertarian,86,23152
Neshoba,United States-Senate ,Jimmy L. Edwards,Libertarian,234,23152
Newton,United States-Senate ,Jimmy L. Edwards,Libertarian,176,23152
Noxubee,United States-Senate ,Jimmy L. Edwards,Libertarian,21,23152
Oktibbeha,United States-Senate ,Jimmy L. Edwards,Libertarian,313,23152
Panola,United States-Senate ,Jimmy L. Edwards,Libertarian,220,23152
Pearl River,United States-Senate ,Jimmy L. Edwards,Libertarian,780,23152
Perry,United States-Senate ,Jimmy L. Edwards,Libertarian,142,23152
Pike,United States-Senate ,Jimmy L. Edwards,Libertarian,257,23152
Pontotoc,United States-Senate ,Jimmy L. Edwards,Libertarian,337,23152
Prentiss,United States-Senate ,Jimmy L. Edwards,Libertarian,229,23152
Quitman,United States-Senate ,Jimmy L. Edwards,Libertarian,48,23152
Rankin,United States-Senate ,Jimmy L. Edwards,Libertarian,1664,23152
Scott,United States-Senate ,Jimmy L. Edwards,Libertarian,151,23152
Sharkey,United States-Senate ,Jimmy L. Edwards,Libertarian,7,23152
Simpson,United States-Senate ,Jimmy L. Edwards,Libertarian,138,23152
Smith,United States-Senate ,Jimmy L. Edwards,Libertarian,130,23152
Stone,United States-Senate ,Jimmy L. Edwards,Libertarian,198,23152
Sunflower,United States-Senate ,Jimmy L. Edwards,Libertarian,42,23152
Tallahatchie,United States-Senate ,Jimmy L. Edwards,Libertarian,64,23152
Tate,United States-Senate ,Jimmy L. Edwards,Libertarian,256,23152
Tippah,United States-Senate ,Jimmy L. Edwards,Libertarian,208,23152
Tishomingo,United States-Senate ,Jimmy L. Edwards,Libertarian,256,23152
Tunica,United States-Senate ,Jimmy L. Edwards,Libertarian,42,23152
Union,United States-Senate ,Jimmy L. Edwards,Libertarian,424,23152
Walthall,United States-Senate ,Jimmy L. Edwards,Libertarian,86,23152
Warren,United States-Senate ,Jimmy L. Edwards,Libertarian,246,23152
Washington,United States-Senate ,Jimmy L. Edwards,Libertarian,109,23152
Wayne,United States-Senate ,Jimmy L. Edwards,Libertarian,144,23152
Webster,United States-Senate ,Jimmy L. Edwards,Libertarian,113,23152
Wilkinson,United States-Senate ,Jimmy L. Edwards,Libertarian,80,23152
Winston,United States-Senate ,Jimmy L. Edwards,Libertarian,114,23152
Yalobusha,United States-Senate ,Jimmy L. Edwards,Libertarian,88,23152
Yazoo,United States-Senate ,Jimmy L. Edwards,Libertarian,79,23152
Alcorn,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,2441,104008
Benton,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,1454,104008
Calhoun,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,1628,104008
Chickasaw,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,3253,104008
Choctaw,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,1109,104008
Clay,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,5055,104008
DeSoto,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,27255,104008
Itawamba,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,1048,104008
Lafayette,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,9141,104008
Lee,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,10620,104008
Lowndes,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,11562,104008
Marshall,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,6971,104008
Monroe,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,4970,104008
Oktibbeha,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,598,104008
Pontotoc,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,2206,104008
Prentiss,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,1740,104008
Tate,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,3767,104008
Tippah,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,1673,104008
Tishomingo,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,969,104008
Union,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,1809,104008
Webster,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,882,104008
Winston,US House Of Rep 01-1st Congressional District,Antonia Eliason,Democrat,3857,104008
Alcorn,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,12780,228787
Benton,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,2567,228787
Calhoun,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,4764,228787
Chickasaw,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,4548,228787
Choctaw,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,3023,228787
Clay,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,4714,228787
DeSoto,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,47838,228787
Itawamba,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,9514,228787
Lafayette,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,13941,228787
Lee,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,25028,228787
Lowndes,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,14576,228787
Marshall,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,7621,228787
Monroe,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,11646,228787
Oktibbeha,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,1015,228787
Pontotoc,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,11787,228787
Prentiss,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,8613,228787
Tate,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,8699,228787
Tippah,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,8050,228787
Tishomingo,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,7887,228787
Union,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,10505,228787
Webster,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,4349,228787
Winston,US House Of Rep 01-1st Congressional District,Trent Kelly,Republican,5322,228787
Attala,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,4931,101010
Bolivar,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,4367,101010
Carroll,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,3681,101010
Claiborne,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,572,101010
Coahoma,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,2167,101010
Copiah,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,5947,101010
Grenada,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,5597,101010
Hinds,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,19418,101010
Holmes,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,1249,101010
Humphreys,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,990,101010
Issaquena,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,295,101010
Jefferson,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,494,101010
Leake,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,4973,101010
Leflore,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,2961,101010
Madison,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,2583,101010
Montgomery,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,2724,101010
Panola,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,7727,101010
Quitman,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,921,101010
Sharkey,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,606,101010
Sunflower,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,2550,101010
Tallahatchie,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,2179,101010
Tunica,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,834,101010
Warren,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,10280,101010
Washington,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,4919,101010
Yalobusha,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,3496,101010
Yazoo,US House Of Rep 02-2nd Congressional District,Brian Flowers,Republican,4549,101010
Attala,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,3764,196224
Bolivar,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,9132,196224
Carroll,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,1923,196224
Claiborne,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,3854,196224
Coahoma,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,6127,196224
Copiah,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,6710,196224
Grenada,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,5099,196224
Hinds,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,66151,196224
Holmes,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,6671,196224
Humphreys,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,3095,196224
Issaquena,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,368,196224
Jefferson,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,3368,196224
Leake,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,4031,196224
Leflore,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,7749,196224
Madison,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,9477,196224
Montgomery,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,2283,196224
Panola,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,7800,196224
Quitman,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,2215,196224
Sharkey,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,1513,196224
Sunflower,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,6961,196224
Tallahatchie,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,3378,196224
Tunica,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,2615,196224
Warren,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,10396,196224
Washington,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,12965,196224
Yalobusha,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,2975,196224
Yazoo,US House Of Rep 02-2nd Congressional District,Bennie G. Thompson,Democrat,5604,196224
Adams,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,6990,120782
Amite,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,2521,120782
Clarke,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,2044,120782
Covington,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,3130,120782
Franklin,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,1391,120782
Hinds,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,6740,120782
Jasper,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,3984,120782
Jeff Davis,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,3357,120782
Kemper,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,2597,120782
Lauderdale,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,12103,120782
Lawrence,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,2033,120782
Lincoln,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,4536,120782
Madison,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,12824,120782
Neshoba,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,2995,120782
Newton,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,2918,120782
Noxubee,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,3572,120782
Oktibbeha,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,8293,120782
Pike,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,7964,120782
Rankin,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,16326,120782
Scott,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,4063,120782
Simpson,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,3633,120782
Smith,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,1652,120782
Walthall,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,2600,120782
Wilkinson,US House Of Rep 03-3rd Congressional District,Dorothy Dot Benford,Democrat,2516,120782
Adams,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,5802,221064
Amite,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,4417,221064
Clarke,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,5033,221064
Covington,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,5836,221064
Franklin,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,2876,221064
Hinds,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,7566,221064
Jasper,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,4344,221064
Jeff Davis,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,2566,221064
Kemper,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,1928,221064
Lauderdale,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,18711,221064
Lawrence,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,4299,221064
Lincoln,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,11751,221064
Madison,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,31172,221064
Neshoba,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,8592,221064
Newton,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,7201,221064
Noxubee,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,1282,221064
Oktibbeha,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,8932,221064
Pike,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,8674,221064
Rankin,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,54043,221064
Scott,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,6341,221064
Simpson,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,7798,221064
Smith,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,6417,221064
Walthall,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,4136,221064
Wilkinson,US House Of Rep 03-3rd Congressional District,Michael Guest,Republican,1347,221064
Clarke,US House Of Rep 04-4th Congressional District,Steven M. Palazzo,Republican,831,255971
Forrest,US House Of Rep 04-4th Congressional District,Steven M. Palazzo,Republican,23635,255971
George,US House Of Rep 04-4th Congressional District,Steven M. Palazzo,Republican,9944,255971
Greene,US House Of Rep 04-4th Congressional District,Steven M. Palazzo,Republican,5036,255971
Hancock,US House Of Rep 04-4th Congressional District,Steven M. Palazzo,Republican,17196,255971
Harrison,US House Of Rep 04-4th Congressional District,Steven M. Palazzo,Republican,57126,255971
Jackson,US House Of Rep 04-4th Congressional District,Steven M. Palazzo,Republican,42158,255971
Jones,US House Of Rep 04-4th Congressional District,Steven M. Palazzo,Republican,25291,255971
Lamar,US House Of Rep 04-4th Congressional District,Steven M. Palazzo,Republican,24080,255971
Marion,US House Of Rep 04-4th Congressional District,Steven M. Palazzo,Republican,9834,255971
Pearl River,US House Of Rep 04-4th Congressional District,Steven M. Palazzo,Republican,20863,255971
Perry,US House Of Rep 04-4th Congressional District,Steven M. Palazzo,Republican,4954,255971
Stone,US House Of Rep 04-4th Congressional District,Steven M. Palazzo,Republican,6684,255971
Wayne,US House Of Rep 04-4th Congressional District,Steven M. Palazzo,Republican,8339,255971
Bolivar,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,4619,202530
Claiborne,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,1132,202530
Copiah,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,6171,202530
Hinds,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,29611,202530
Holmes,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,1833,202530
Humphreys,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,1154,202530
Issaquena,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,290,202530
Jefferson,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,944,202530
Kemper,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,1960,202530
Lauderdale,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,18641,202530
Leake,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,5158,202530
Madison,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,32485,202530
Neshoba,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,8441,202530
Newton,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,6803,202530
