




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Pickens                       17319                         4230                          234                           6523                          1                             10988                         879                           32                            1511                          1                             2423                          13411                         
Pierce                        9283                          1553                          294                           3677                          1                             5525                          393                           39                            984                           0                             1416                          6941                          
Pike                          10620                         2568                          291                           4011                          4                             6874                          579                           67                            943                           1                             1590                          8464                          
Polk                          20268                         3597                          395                           7350                          5                             11347                         726                           56                            1445                          1                             2228                          13575                         
Pulaski                       4720                          682                           150                           1940                          1                             2773                          145                           29                            390                           0                             564                           3337                          
Putnam                        13964                         2722                          470                           4111                          4                             7307                          655                           105                           1043                          1                             1804                          9111                          
Quitman                       1431                          327                           49                            376                           0                             752                           109                           2                             82                            0                             193                           945                           
Rabun                         9884                          1120                          734                           4477                          0                             6331                          226                           113                           944                           0                             1283                          7614                          
Randolph                      3914                          1084                          132                           965                           1                             2182                          254                           18                            209                           1                             482                           2664                          
Richmond                      105642                        27992                         3717                          28748                         83                            60540                         5903                          530                           5613                          15                            12061                         72601                         
Rockdale                      50003                         8330                          1222                          21033                         29                            30614                         1804                          165                           4155                          1                             6125                          36739                         
Schley                        2364                          451                           63                            942                           0                             1456                          113                           14                            218                           0                             345                           1801                          
Screven                       7512                          2135                          152                           2083                          0                             4370                          509                           15                            503                           0                             1027                          5397                          
Seminole                      4905                          1506                          138                           1092                          3                             2739                          354                           30                            222                           0                             606                           3345                          
Spalding                      34832                         7473                          875                           11716                         13                            20077                         1696                          143                           2580                          2                             4421                          24498                         
Stephens                      13132                         1666                          533                           5778                          3                             7980                          285                           68                            1043                          0                             1396                          9376                          
Stewart                       2917                          620                           213                           507                           4                             1344                          193                           47                            122                           0                             362                           1706                          
Sumter                        15181                         3507                          618                           4449                          1                             8575                          868                           89                            993                           0                             1950                          10525                         
Talbot                        4138                          1362                          389                           627                           0                             2378                          338                           65                            133                           0                             536                           2914                          
Taliaferro                    1157                          263                           73                            281                           1                             618                           71                            11                            73                            0                             155                           773                           
Tattnall                      9299                          1982                          437                           2656                          5                             5080                          549                           82                            757                           1                             1389                          6469                          
Taylor                        4372                          951                           217                           1324                          0                             2492                          325                           37                            331                           0                             693                           3185                          
Telfair                       5029                          1392                          189                           1060                          0                             2641                          413                           61                            292                           1                             767                           3408                          
Terrell                       5871                          1454                          205                           1485                          1                             3145                          414                           39                            340                           1                             794                           3939                          
Thomas                        24693                         5673                          690                           8504                          3                             14870                         1272                          116                           1630                          1                             3019                          17889                         
Tift                          19040                         4303                          457                           6551                          12                            11323                         917                           70                            1172                          1                             2160                          13483                         
Toombs                        15146                         2869                          488                           3775                          1                             7133                          633                           88                            758                           1                             1480                          8613                          
Towns                         8608                          1412                          323                           3547                          8                             5290                          328                           56                            706                           1                             1091                          6381                          
Treutlen                      3773                          665                           137                           1160                          2                             1964                          184                           18                            284                           1                             487                           2451                          
Troup                         35513                         9176                          1000                          10036                         180                           20392                         2188                          176                           2160                          35                            4559                          24951                         
Turner                        4552                          894                           73                            1615                          3                             2585                          241                           9                             376                           1                             627                           3212                          
Twiggs                        5291                          1564                          212                           1150                          1                             2927                          427                           82                            314                           0                             823                           3750                          
Union                         14370                         3068                          523                           5897                          0                             9488                          757                           89                            1254                          3                             2103                          11591                         
Upson                         14058                         2357                          395                           5803                          5                             8560                          544                           52                            1268                          2                             1866                          10426                         
Walker                        32951                         7907                          816                           11146                         11                            19880                         1312                          126                           1950                          0                             3388                          23268                         
Walton                        51318                         16897                         1442                          14885                         29                            33253                         3254                          204                           2471                          5                             5934                          39187                         
Ware                          16254                         3710                          464                           5264                          4                             9442                          899                           90                            1126                          2                             2117                          11559                         
Warren                        3105                          665                           107                           833                           1                             1606                          239                           15                            266                           0                             520                           2126                          
Washington                    11002                         2624                          563                           3061                          14                            6262                          796                           95                            686                           7                             1584                          7846                          
Wayne                         13496                         3399                          318                           4378                          7                             8102                          736                           81                            974                           3                             1794                          9896                          
Webster                       1433                          355                           94                            383                           0                             832                           92                            17                            80                            1                             190                           1022                          
Wheeler                       2705                          731                           121                           675                           3                             1530                          171                           16                            188                           0                             375                           1905                          
White                         14669                         3851                          528                           5127                          9                             9515                          865                           78                            1059                          2                             2004                          11519                         
Whitfield                     39588                         12403                         968                           10549                         26                            23946                         2630                          153                           1997                          5                             4785                          28731                         
Wilcox                        3934                          1129                          173                           924                           0                             2226                          317                           30                            190                           0                             537                           2763                          
Wilkes                        5826                          1562                          142                           1505                          5                             3214                          443                           35                            429                           0                             907                           4121                          
Wilkinson                     5481                          1898                          161                           1135                          3                             3197                          498                           34                            290                           0                             822                           4019                          
Worth                         10724                         3439                          218                           2832                          9                             6498                          828                           51                            517                           2                             1398                          7896                          
Totals:                       5368410                       1353577                       168912                        1786067                       5799                          3314355                       295171                        26577                         341413                        1087                          664248                        3978603                       

                          Constitutional Amendment #3<br>Reforms and re-establishes the Judicial Qualifications Commission and provides for its composition, governance, and powers.
                                                            YES                                                                                                                                                   NO                                                                                                                                                    
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Appling                       9242                          1866                          292                           1510                          2                             3670                          1359                          160                           899                           0                             2418                          6088                          
Atkinson                      3695                          643                           48                            623                           0                             1314                          409                           30                            475                           0                             914                           2228                          
Bacon                         5385                          724                           102                           1246                          3                             2075                          439                           42                            745                           1                             1227                          3302                          
Baker                         1974                          345                           76                            264                           1                             686                           263                           53                            215                           0                             531                           1217                          
Baldwin                       21052                         3215                          469                           4481                          4                             8169                          2492                          544                           3378                          3                             6417                          14586                         
Banks                         8581                          1949                          147                           1716                          1                             3813                          1312                          73                            1250                          0                             2635                          6448                          
Barrow                        37213                         7445                          753                           9512                          0                             17710                         4050                          320                           4576                          1                             8947                          26657                         
Bartow                        52253                         11806                         908                           10141                         17                            22872                         7168                          466                           5902                          7                             13543                         36415                         
Ben Hill                      7899                          892                           149                           2090                          5                             3136                          562                           69                            1596                          1                             2228                          5364                          
Berrien                       10920                         1641                          226                           1815                          15                            3697                          1059                          113                           1179                          1                             2352                          6049                          
Bibb                          86854                         16329                         2076                          15700                         120                           34225                         11044                         1298                          10787                         66                            23195                         57420                         
Bleckley                      6162                          1117                          120                           1495                          2                             2734                          728                           99                            853                           1                             1681                          4415                          
Brantley                      8304                          1496                          131                           1598                          4                             3229                          974                           70                            1039                          2                             2085                          5314                          
Brooks                        8642                          1559                          354                           1617                          29                            3559                          953                           165                           830                           15                            1963                          5522                          
Bryan                         20151                         3492                          330                           5631                          7                             9460                          1659                          158                           2379                          2                             4198                          13658                         
Bulloch                       34926                         6646                          616                           7076                          36                            14374                         4203                          330                           4388                          9                             8930                          23304                         
Burke                         12481                         2616                          450                           1933                          0                             4999                          1734                          384                           1286                          0                             3404                          8403                          
Butts                         12556                         1590                          166                           3850                          0                             5606                          848                           91                            2080                          0                             3019                          8625                          
Calhoun                       2694                          574                           87                            349                           1                             1011                          514                           51                            262                           0                             827                           1838                          
Camden                        25319                         4513                          715                           6229                          12                            11469                         2212                          300                           3291                          4                             5807                          17276                         
Candler                       4671                          595                           74                            1404                          2                             2075                          308                           42                            892                           0                             1242                          3317                          
Carroll                       57251                         10630                         894                           13649                         57                            25230                         6707                          463                           8053                          17                            15240                         40470                         
Catoosa                       34831                         5494                          436                           10130                         9                             16069                         2737                          157                           4875                          3                             7772                          23841                         
Charlton                      5154                          857                           109                           1125                          3                             2094                          591                           71                            707                           3                             1372                          3466                          
Chatham                       155339                        38188                         2822                          19584                         64                            60658                         27277                         1567                          12102                         34                            40980                         101638                        
Chattahoochee                 4247                          411                           37                            356                           4                             808                           217                           4                             167                           2                             390                           1198                          
Chattooga                     11099                         2130                          141                           2451                          2                             4724                          1355                          61                            1288                          2                             2706                          7430                          
Cherokee                      138809                        25700                         3198                          35550                         18                            64466                         15335                         1594                          20066                         6                             37001                         101467                        
Clarke                        60411                         8697                          1256                          9640                          31                            19624                         8732                          1028                          11431                         41                            21232                         40856                         
Clay                          1731                          310                           70                            337                           1                             718                           167                           20                            220                           2                             409                           1127                          
Clayton                       134164                        22172                         1999                          36057                         95                            60323                         9328                          776                           16094                         42                            26240                         86563                         
Clinch                        3499                          536                           37                            652                           2                             1227                          304                           32                            477                           1                             814                           2041                          
Cobb                          424176                        92416                         13533                         81594                         444                           187987                        60908                         7411                          48102                         211                           116632                        304619                        
Coffee                        18897                         2492                          285                           4657                          0                             7434                          1671                          140                           2811                          0                             4622                          12056                         
Colquitt                      18468                         3548                          292                           3346                          3                             7189                          2607                          119                           2287                          1                             5014                          12203                         
Columbia                      81492                         16172                         2043                          23206                         23                            41444                         7979                          824                           9450                          3                             18256                         59700                         
Cook                          8037                          1418                          147                           1864                          0                             3429                          924                           68                            1139                          0                             2131                          5560                          
Coweta                        78788                         15645                         1795                          18220                         16                            35676                         9713                          850                           10266                         4                             20833                         56509                         
Crawford                      6525                          1248                          156                           1372                          3                             2779                          778                           74                            965                           1                             1818                          4597                          
Crisp                         10228                         1401                          206                           2733                          8                             4348                          761                           99                            1489                          2                             2351                          6699                          
Dade                          8588                          1831                          97                            1702                          0                             3630                          935                           36                            830                           1                             1802                          5432                          
Dawson                        14591                         1799                          297                           4779                          13                            6888                          927                           179                           2640                          2                             3748                          10636                         
Decatur                       13821                         2196                          305                           2975                          16                            5492                          1483                          158                           2082                          11                            3734                          9226                          
DeKalb                        419871                        64939                         8321                          97758                         275                           171293                        46270                         5246                          66477                         140                           118133                        289426                        
Dodge                         11169                         1828                          191                           1497                          0                             3516                          1468                          118                           1084                          0                             2670                          6186                          
Dooly                         5295                          1006                          109                           995                           12                            2122                          574                           49                            571                           3                             1197                          3319                          
Dougherty                     49074                         10282                         934                           8367                          53                            19636                         6586                          501                           4935                          21                            12043                         31679                         
Douglas                       0                             11613                         1505                          21475                         19                            34612                         6340                          685                           12012                         12                            19049                         53661                         
Early                         6471                          1156                          237                           1126                          0                             2519                          811                           88                            799                           0                             1698                          4217                          
Echols                        1579                          265                           22                            352                           0                             639                           138                           16                            239                           0                             393                           1032                          
Effingham                     30029                         6552                          427                           7422                          6                             14407                         3422                          182                           3315                          1                             6920                          21327                         
Elbert                        10200                         1523                          276                           2370                          41                            4210                          1115                          155                           1663                          14                            2947                          7157                          
Emanuel                       10534                         2277                          183                           1808                          4                             4272                          1354                          103                           1102                          4                             2563                          6835                          
Evans                         4684                          621                           90                            1210                          0                             1921                          385                           69                            846                           0                             1300                          3221                          
Fannin                        14684                         2570                          473                           3319                          3                             6365                          1794                          234                           1831                          6                             3865                          10230                         
Fayette                       73831                         10159                         1643                          21669                         18                            33489                         6975                          890                           14180                         2                             22047                         55536                         
Floyd                         45654                         7893                          801                           10499                         68                            19261                         5155                          408                           6755                          22                            12340                         31601                         
Forsyth                       119848                        15447                         2454                          41318                         21                            59240                         8043                          1094                          21173                         12                            30322                         89562                         
Franklin                      13086                         2391                          245                           2271                          0                             4907                          1387                          115                           1375                          0                             2877                          7784                          
Fulton                        590362                        85414                         11545                         146035                        634                           243628                        55810                         6396                          87222                         340                           149768                        393396                        
Gilmer                        15748                         2668                          418                           3737                          6                             6829                          1920                          162                           2226                          4                             4312                          11141                         
Glascock                      1733                          320                           26                            351                           0                             697                           190                           31                            214                           0                             435                           1132                          
Glynn                         44972                         7747                          971                           10080                         28                            18826                         4939                          416                           6160                          20                            11535                         30361                         
Gordon                        24934                         4826                          347                           5240                          13                            10426                         3031                          170                           2901                          5                             6107                          16533                         
